Timestamp,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Label
2025-06-14 09:57:59,192.168.1.11,3300,192.168.1.4,39844,RA,
2025-06-14 09:57:59,192.168.1.4,37834,192.168.1.11,3001,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3001,192.168.1.4,37834,RA,
2025-06-14 09:57:59,192.168.1.4,55330,192.168.1.11,2009,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,2009,192.168.1.4,55330,RA,
2025-06-14 09:57:59,192.168.1.4,48164,192.168.1.11,24,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,24,192.168.1.4,48164,RA,
2025-06-14 09:57:59,192.168.1.4,41012,192.168.1.11,7200,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,7200,192.168.1.4,41012,RA,
2025-06-14 09:57:59,192.168.1.4,52304,192.168.1.11,1494,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1494,192.168.1.4,52304,RA,
2025-06-14 09:57:59,192.168.1.4,35274,192.168.1.11,42,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,42,192.168.1.4,35274,RA,
2025-06-14 09:57:59,192.168.1.4,38086,192.168.1.11,8181,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,8181,192.168.1.4,38086,RA,
2025-06-14 09:57:59,192.168.1.4,48474,192.168.1.11,4004,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,4004,192.168.1.4,48474,RA,
2025-06-14 09:57:59,192.168.1.4,43812,192.168.1.11,1106,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1106,192.168.1.4,43812,RA,
2025-06-14 09:57:59,192.168.1.4,36560,192.168.1.11,3261,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3261,192.168.1.4,36560,RA,
2025-06-14 09:57:59,192.168.1.4,34912,192.168.1.11,119,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,119,192.168.1.4,34912,RA,
2025-06-14 09:57:59,192.168.1.4,53066,192.168.1.11,1658,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1658,192.168.1.4,53066,RA,
2025-06-14 09:57:59,192.168.1.4,47284,192.168.1.11,2005,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,2005,192.168.1.4,47284,RA,
2025-06-14 09:57:59,192.168.1.4,47704,192.168.1.11,5004,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,5004,192.168.1.4,47704,RA,
2025-06-14 09:57:59,192.168.1.4,39524,192.168.1.11,5963,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,5963,192.168.1.4,39524,RA,
2025-06-14 09:57:59,192.168.1.4,43822,192.168.1.11,1147,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1147,192.168.1.4,43822,RA,
2025-06-14 09:57:59,192.168.1.4,43084,192.168.1.11,1192,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1192,192.168.1.4,43084,RA,
2025-06-14 09:57:59,192.168.1.4,41676,192.168.1.11,3211,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3211,192.168.1.4,41676,RA,
2025-06-14 09:57:59,192.168.1.4,50732,192.168.1.11,17877,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,17877,192.168.1.4,50732,RA,
